# Step Torsion_Angles(rad)...
    460000    2.0838    3.0954    2.2729    0.6723    3.1407    1.8837    3.0058    0.1497    1.4965    0.4872    2.9224    0.0754    2.1891    0.8333    2.6205    2.6230    2.8420
    470000    1.8719    3.1190    0.1306    0.3301    2.8803    1.0666    2.9635    0.9752    2.6021    1.9244    2.7247    2.5116    2.6620    2.8875    2.5333    2.7467    0.5157
    480000    1.8887    3.1291    2.7222    2.1599    3.1383    0.6842    3.0746    0.2672    3.1092    1.5013    2.7745    2.4269    2.9933    0.0264    2.4637    2.8211    2.7897
    490000    1.7473    3.1002    1.4938    2.2884    2.5168    1.6434    0.6456    0.1620    1.1795    1.4655    2.7985    0.3358    1.1037    0.8490    2.5984    2.3148    1.6974
    500000    1.9772    3.0485    3.0735    3.0125    2.6893    2.3259    2.9539    0.9251    2.9627    2.9791    2.1140    2.4560    2.2384    2.3824    3.1311    0.6926    2.9953
    510000    2.0582    3.1393    3.0574    2.7639    3.0832    1.5021    2.9192    1.4068    2.9706    1.7883    2.6482    1.6181    2.7345    1.9245    2.8080    0.2539    2.5391
    520000    1.9457    3.1335    2.7993    2.0982    3.0513    0.9327    2.7361    1.8710    2.8745    1.8447    3.1214    1.2391    2.9654    1.1148    2.6344    2.8175    1.1449
    530000    1.4347    2.9803    2.8591    2.3886    1.0181    1.7304    2.0053    0.8118    0.9286    2.0802    1.1290    0.2868    1.7829    0.1894    0.1476    1.5356    0.4395
    540000    1.9512    3.0324    2.9926    1.6966    2.4061    0.2129    2.9461    0.7910    1.1153    1.8567    2.6543    1.5918    2.5592    1.3941    2.8367    1.9871    2.5518
    550000    1.5850    2.9661    1.6731    0.4153    2.9205    1.6946    1.5634    0.0254    2.1064    2.7147    2.0733    0.4157    3.0810    0.5371    2.4545    3.1131    2.2950
    560000    2.0260    3.1339    3.0369    1.8961    2.7584    0.3064    2.5558    1.3626    1.1547    2.1700    2.5873    0.0106    1.9658    1.0342    2.7053    1.4017    2.7903
    570000    1.6485    3.0022    2.8912    2.5561    0.7461    0.4617    2.4602    0.3761    2.2502    0.0894    2.8754    0.8396    1.9451    0.3284    1.8661    1.8790    2.7499
    580000    1.4856    3.0819    1.2136    2.2861    0.8996    3.1234    2.0421    1.3318    1.6491    0.6248    2.8764    0.8842    1.1680    1.5126    2.3787    0.6408    0.7123
    590000    1.2788    3.1106    2.7624    2.2562    2.6475    0.3770    2.9650    2.0670    2.4798    0.1314    2.8498    1.8813    1.9370    1.8498    2.8004    2.5346    2.4427
    600000    1.9991    3.1292    2.8620    2.7076    2.9391    2.2493    0.5231    0.9843    1.2874    0.0303    2.4544    1.3526    2.2313    1.6749    2.6021    1.4615    2.8416
    610000    1.6942    3.0542    0.3904    2.7300    3.0581    2.9597    3.0120    1.4776    2.2588    0.0716    2.3798    1.7555    2.3707    0.1894    2.8154    1.2068    2.3305
    620000    1.9439    3.1296    2.6802    3.0106    3.1290    2.3561    2.6968    1.9926    3.0439    1.4028    3.0123    1.8712    2.9252    0.2552    2.1676    1.5458    1.3816
    630000    2.0954    3.0744    3.1287    2.0405    2.9360    0.8550    2.7211    0.4147    2.8748    1.6777    3.1263    1.6618    0.7169    2.0886    2.9065    1.2364    2.7049
    640000    1.6679    3.0566    2.9632    1.9710    2.0202    0.1766    2.7430    2.6236    2.9529    0.7694    3.1083    1.5318    2.6165    0.3766    2.8071    1.5342    0.6834
    650000    1.9423    3.0900    0.8469    0.3290    3.0872    0.1554    0.5684    1.6425    2.3980    0.1546    0.5639    0.1712    1.4844    0.4369    3.0988    1.9678    2.5212
    660000    1.7131    3.0495    3.0200    2.3088    2.8661    1.3533    2.2521    0.6763    2.2582    0.7422    3.0343    0.3247    2.6746    0.0886    0.0109    1.8646    2.0340
    670000    1.7480    3.0081    3.0749    2.5836    3.0933    1.3938    3.0747    2.6143    1.4154    0.3511    2.9186    0.6521    2.9222    0.5343    0.9973    0.0382    0.1855
    680000    2.1018    3.1260    2.1198    2.6433    2.9857    0.4366    2.6528    2.0842    3.0441    2.2913    2.7562    1.3922    2.9553    1.4483    2.3345    1.8484    2.4881
    690000    1.9589    3.1329    2.7380    2.9893    3.0366    2.9100    2.0666    2.2468    3.0365    0.9279    2.9300    2.6751    2.8773    2.6097    2.7300    2.0701    2.9817
    700000    1.4895    2.9613    2.5115    2.4195    3.0394    3.0765    1.9931    2.1074    2.6656    2.6611    2.8273    0.1218    2.9483    2.2615    2.3715    2.3400    2.3003
    710000    1.9635    3.0822    2.2621    2.2755    3.1270    0.6931    2.8563    3.0974    3.1337    2.4111    1.8835    1.9587    1.7606    2.9026    1.9570    1.8489    3.0870
    720000    1.2870    3.0687    2.7894    3.0942    3.0950    2.4501    2.4454    1.6875    2.2397    0.0704    3.0364    0.8699    3.0557    0.4715    2.7042    1.0378    2.9494
    730000    1.4106    3.0466    2.5737    2.2657    2.8376    0.2976    1.3227    1.9692    2.1489    0.3876    0.6021    0.9084    1.3611    0.1666    2.6331    1.1489    2.3021
    740000    1.5439    2.9273    2.3287    2.6895    1.6507    0.4647    2.8168    0.4415    2.6801    1.6109    1.9009    0.5825    1.0653    0.9641    0.0598    1.5571    2.7305
    750000    1.2572    3.1006    2.1636    1.7085    2.2521    1.8941    3.1133    1.1548    2.5704    0.9819    2.9027    1.4608    2.6688    1.2178    2.4248    2.3089    2.8791
    760000    1.1663    2.9815    1.7970    2.5076    3.0075    1.6251    2.8255    1.3889    2.8286    1.3798    1.4793    0.6527    2.4348    0.0685    0.2062    0.6627    2.7338
    770000    2.0038    2.9158    1.5877    0.6150    1.5174    1.3363    1.4134    0.5302    2.2379    0.0282    2.0959    0.7176    1.4161    0.8244    2.5658    2.8601    2.8953
